node_index,latitude,longitude,elevation,temperature_2m,relative_humidity_2m,apparent_temperature,wind_speed_10m,wind_direction_10m,wind_gusts_10m,precipitation,rain,cloud_cover,pressure_msl,surface_pressure
6580,30.75,76.75,360,29.39999962,67,34.26578522,2.811689854,129.8055267,6.119999886,0,0,100,999.2999878,959.6436768
6581,30.75,76.875,338,29.54999924,67,34.49831009,2.811689854,129.8055267,6.119999886,0,0,100,999.2999878,962.0305176
6582,30.75,76.75,338,29.54999924,67,34.49831009,2.811689854,129.8055267,6.119999886,0,0,100,999.2999878,962.0305176
6583,30.75,76.75,337,29.54999924,67,34.49831009,2.811689854,129.8055267,6.119999886,0,0,100,999.2999878,962.1383057
6584,30.75,76.75,338,29.54999924,67,34.49831009,2.811689854,129.8055267,6.119999886,0,0,100,999.2999878,962.0305176
6585,30.75,76.75,337,29.54999924,67,34.49831009,2.811689854,129.8055267,6.119999886,0,0,100,999.2999878,962.1383057
6586,30.75,76.75,337,29.54999924,67,34.49831009,2.811689854,129.8055267,6.119999886,0,0,100,999.2999878,962.1383057
6587,30.75,76.75,337,29.54999924,67,34.49831009,2.811689854,129.8055267,6.119999886,0,0,100,999.2999878,962.1383057
6588,30.75,76.75,337,29.54999924,67,34.49831009,2.811689854,129.8055267,6.119999886,0,0,100,999.2999878,962.1383057
6589,30.75,76.75,337,29.54999924,67,34.49831009,2.811689854,129.8055267,6.119999886,0,0,100,999.2999878,962.1383057
6590,30.75,76.75,337,29.54999924,67,34.49831009,2.811689854,129.8055267,6.119999886,0,0,100,999.2999878,962.1383057
6591,30.75,76.75,337,29.54999924,67,34.49831009,2.811689854,129.8055267,6.119999886,0,0,100,999.2999878,962.1383057
6592,30.75,76.75,337,29.54999924,67,34.49831009,2.811689854,129.8055267,6.119999886,0,0,100,999.2999878,962.1383057
6593,30.75,76.75,337,29.54999924,67,34.49831009,2.811689854,129.8055267,6.119999886,0,0,100,999.2999878,962.1383057
6594,30.75,76.75,337,29.54999924,67,34.49831009,2.811689854,129.8055267,6.119999886,0,0,100,999.2999878,962.1383057
6595,30.75,76.75,337,29.54999924,67,34.49831009,2.811689854,129.8055267,6.119999886,0,0,100,999.2999878,962.1383057
6596,30.75,76.75,336,29.54999924,67,34.49831009,2.811689854,129.8055267,6.119999886,0,0,100,999.2999878,962.2460938
6597,30.75,76.75,337,29.54999924,67,34.49831009,2.811689854,129.8055267,6.119999886,0,0,100,999.2999878,962.1383057
6598,30.75,76.75,336,29.54999924,67,34.49831009,2.811689854,129.8055267,6.119999886,0,0,100,999.2999878,962.2460938
6599,30.75,76.75,336,29.54999924,67,34.49831009,2.811689854,129.8055267,6.119999886,0,0,100,999.2999878,962.2460938
6600,30.75,76.75,338,29.54999924,67,34.49831009,2.811689854,129.8055267,6.119999886,0,0,100,999.2999878,962.0305176
